id,name,price,quantity
1327,SHIM SQ SPLINE 25x1.2 3 WHEELER,50,123
1328,"Pick up coil / Pulsur coil, magneto ass",140,150
1329,ADJUSTOR BOLT DAMPER ASSY,50,25
1330,ADJUSTOR SPRING DAMPER ASSY,10,2
1331,PIPE BREATHER,10,10
1332,TUBE COMP GEAR SHIFT,330,70
1333,INDICATOR GEARSHIFT,40,16
1334,LEVER ASSY CLUTCH,155,8
1335,SOFT TOP COMP REAR,2080,11
1336,"Circlip, Fuel warning switch",5,0
1337,CARBON BRUSH WIPER MOTOR,865,0
1338,STUD,25,15
1339,CIRCLIP 12x1N,5,5
1340,3 WAY UNION,165,60
1341,BREATHER HOSE PCV,60,25
1342,BEVEL GEAR 3 WHEELER,980,60
1343,GEAR 2ND DRIVEN,685,20
1344,ADJUSTER ( SRA ),80,71
1345,Rotor Assy with cladding 4S,4785,1
1346,ISOLATOR  H/S,10,5
1347,MASTER CYL,2525,175
1348,FLAME TRAP COMP,100,29
1349,SWITCH ASSY HANDLE BAR,460,79
1350,SWITCH CONTACT GEAR POSITION,10,571
1351,SPRING RATCHET HANDSTART,15,0
1352,BANJO BOLT,40,13
1353,HEX BOLT M12x1.75x55,45,7
1354,"retainer washer, frt shock absorber ass",15,0
1355,"hex.nut, frt shock absorber assy",15,257
1356,DRAIN PIPE,15,10
1357,"WIRING HARNESS, FRONT 4S PETROL",2525,45
1358,"WIRING HARNESS, REAR - 4S PETROL",1910,22
1359,SPRING  H/S,25,3
1360,BUSH CLUTCH LEVER ASSY,30,55
1361,DOMED NUT M6*1,15,0
1362,SIDE TUBE,320,5
1363,MAIN JET,70,5
1364,REAR COMB LAMP LH (N),830,195
1365,REAR COMB LAMP RH (N),850,263
1366,TVS KING STICKER,95,1205
1367,PLATE LOCK ARM SPRING REVERSE,75,60
1368,HOLDER WATER BOTTLE,130,60
1369,RETAINER BEARING,10,112
1370,SUPPORT  RH FRONT H/S,130,5
1371,PAD BRAKE PEDAL,25,105
1372,Bush Front RH,20,9
1373,SPEAKER GRILL LH BLACK,55,5
1374,RING ( Shim ),35,5
1375,Piston Kit 1st O/S 4S,530,1695
1376,TRAILING ARM FRONT,2265,35
1377,PIN MASTER CYLINDER,20,25
1378,SHIM SQ SPLINE DIA23x1.2  3 WHEELER,15,140
1379,"spacer nut, frt shock absorber assy",35,5
1380,SPRING VALVE RETURN,45,105
1381,HEX SCREW M10X1.25X20  3 WHEELER,20,63
1382,Front Indicator Lamp LH.,315,54
1383,Front Indicator Lamp RH.,315,56
1384,KIT OIL STAINER,65,5
